Adj Close,Close,Date,High,Low,Open,Volume
76095.984375,77200.0,2021-09-17,77200.0,75900.0,76300.0,16289502
76293.125,77400.0,2021-09-23,77600.0,76800.0,77500.0,17055590
76194.5546875,77300.0,2021-09-24,77700.0,77100.0,77600.0,12247274
76588.828125,77700.0,2021-09-27,77700.0,77000.0,77300.0,11699798
75208.859375,76300.0,2021-09-28,77800.0,76200.0,77700.0,15406382
73387.53125,74100.0,2021-09-29,75300.0,73800.0,74800.0,23992458
73387.53125,74100.0,2021-09-30,74800.0,73700.0,74300.0,19919361
72496.1796875,73200.0,2021-10-01,74000.0,72900.0,73900.0,15803395
71505.8046875,72200.0,2021-10-05,73000.0,71400.0,73000.0,24013921
70614.453125,71300.0,2021-10-06,72800.0,71200.0,72600.0,18956962
70911.5625,71600.0,2021-10-07,72100.0,71300.0,71600.0,13683532
70812.53125,71500.0,2021-10-08,72400.0,71500.0,72300.0,14043287
68336.5703125,69000.0,2021-10-12,70900.0,68700.0,70700.0,31001484
68138.4921875,68800.0,2021-10-13,69600.0,68300.0,68700.0,24172015
68732.7265625,69400.0,2021-10-14,69800.0,68800.0,69000.0,19520641
69425.9921875,70100.0,2021-10-15,71000.0,70000.0,70200.0,18051612
69525.03125,70200.0,2021-10-18,70300.0,69200.0,70200.0,13486391
69921.1875,70600.0,2021-10-19,71000.0,70400.0,70800.0,9507991
69624.0703125,70300.0,2021-10-20,71000.0,70200.0,70700.0,10151638
69525.03125,70200.0,2021-10-21,70600.0,70000.0,70300.0,10891094
69723.1015625,70400.0,2021-10-22,70700.0,70000.0,70000.0,8395448
69525.03125,70200.0,2021-10-25,70600.0,69500.0,69900.0,10029621
70416.3828125,71100.0,2021-10-26,71500.0,70400.0,70600.0,10528252
69425.9921875,70100.0,2021-10-27,71000.0,70000.0,71000.0,10295316
70020.2265625,70700.0,2021-10-28,72200.0,69500.0,69500.0,20644902
69128.875,69800.0,2021-10-29,71600.0,69700.0,71200.0,17016151
69227.9140625,69900.0,2021-11-01,70600.0,69900.0,70200.0,11503729
70812.53125,71500.0,2021-11-02,72200.0,70700.0,70800.0,16812570
69723.1015625,70400.0,2021-11-03,71700.0,70100.0,71700.0,12770428
69921.1875,70600.0,2021-11-04,71600.0,70500.0,71200.0,11818987
69525.03125,70200.0,2021-11-05,71600.0,70200.0,71600.0,12667743
69921.1875,70600.0,2021-11-08,70600.0,69800.0,70400.0,11121981
69822.1484375,70500.0,2021-11-09,71000.0,70100.0,70300.0,11159589
69525.03125,70200.0,2021-11-10,70900.0,70200.0,70300.0,9422009
69227.9140625,69900.0,2021-11-11,70000.0,69600.0,69900.0,11489122
69921.1875,70600.0,2021-11-12,70900.0,69900.0,70200.0,10087450
70713.4921875,71400.0,2021-11-15,71900.0,70900.0,71700.0,12420710
70614.453125,71300.0,2021-11-16,72000.0,71300.0,71500.0,10919239
70020.2265625,70700.0,2021-11-17,71600.0,70600.0,71300.0,11027606
69525.03125,70200.0,2021-11-18,71000.0,70200.0,70700.0,10144957
70515.4140625,71200.0,2021-11-19,71400.0,70100.0,70400.0,11954728
74179.8359375,74900.0,2021-11-22,75200.0,73000.0,73300.0,27506623
74575.9921875,75300.0,2021-11-23,76000.0,74500.0,76000.0,22029195
74080.796875,74800.0,2021-11-24,76200.0,74100.0,76000.0,15652305
72991.375,73700.0,2021-11-25,75100.0,73600.0,75100.0,12559258
71604.84375,72300.0,2021-11-26,74100.0,72000.0,73500.0,13002242
71604.84375,72300.0,2021-11-29,73000.0,71400.0,71700.0,16682559
70614.453125,71300.0,2021-11-30,73900.0,70500.0,73200.0,30364841
73684.640625,74400.0,2021-12-01,74800.0,71600.0,72000.0,21954856
75071.1875,75800.0,2021-12-02,75800.0,73800.0,73900.0,23652940
74873.109375,75600.0,2021-12-03,76000.0,74100.0,75600.0,18330240
75566.3828125,76300.0,2021-12-06,76700.0,74900.0,75100.0,16391250
76655.8046875,77400.0,2021-12-07,77700.0,75600.0,76100.0,19232453
76655.8046875,77400.0,2021-12-08,78600.0,77100.0,78300.0,21558340
77448.109375,78200.0,2021-12-09,78200.0,77000.0,77400.0,21604528
76160.609375,76900.0,2021-12-10,77600.0,76800.0,77400.0,9155219
76061.578125,76800.0,2021-12-13,78300.0,76500.0,77200.0,15038750
76259.6484375,77000.0,2021-12-14,77200.0,76200.0,76500.0,10976660
76853.8828125,77600.0,2021-12-15,77600.0,76300.0,76400.0,9584939
77051.953125,77800.0,2021-12-16,78500.0,77400.0,78500.0,11996128
77250.0390625,78000.0,2021-12-17,78000.0,76800.0,76800.0,13108479
76358.6875,77100.0,2021-12-20,77800.0,76800.0,77600.0,11264375
77349.0703125,78100.0,2021-12-21,78300.0,77500.0,77900.0,14245298
78636.5703125,79400.0,2021-12-22,79400.0,78800.0,78900.0,17105892
79131.765625,79900.0,2021-12-23,80000.0,79300.0,79800.0,13577498
79725.9921875,80500.0,2021-12-24,80800.0,80200.0,80200.0,12086380
79428.8828125,80200.0,2021-12-27,80600.0,79800.0,80600.0,10783368
79527.921875,80300.0,2021-12-28,80400.0,79700.0,80200.0,18226325
78394.7734375,78800.0,2021-12-29,80200.0,78500.0,80200.0,19794795
77897.34375,78300.0,2021-12-30,79500.0,78100.0,78900.0,14236700
78295.2890625,78700.0,2022-01-04,79200.0,78300.0,78800.0,12427416
77001.9765625,77400.0,2022-01-05,79000.0,76400.0,78800.0,25470640
76504.546875,76900.0,2022-01-06,77600.0,76600.0,76700.0,12931954
